fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,2500
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0157,Rental of Equipment and Services,45392
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0159,Lease Purchase Agreements for Equipment and Machinery,26346
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0166,"Dues, Subscriptions and Memberships",336190
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0169,Technical Meeting Costs,44000
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0179,Messenger Service,400
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0245,Reimbursement to Travelers,17000
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0270,Local Transportation,1250
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0350,Stationery and Office Supplies,1500
LOCAL,0100,Corporate Fund,28,City Treasurer's Office,2005,City Treasurer's Office,9438,For Services Provided by the Department of Fleet and Facilities Management,10000
LOCAL,0200,Water Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0005,Salaries and Wages - on Payroll,390280
LOCAL,0200,Water Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0015,Schedule Salary Adjustments,1464
LOCAL,0200,Water Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0138,For Professional Services for Information Technology Maintenance,92767
LOCAL,0200,Water Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,118729
LOCAL,0314,Sewer Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0005,Salaries and Wages - on Payroll,163029
LOCAL,0314,Sewer Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0138,For Professional Services for Information Technology Maintenance,56471
LOCAL,0314,Sewer Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,57611
LOCAL,0610,Chicago Midway Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0005,Salaries and Wages - on Payroll,261590
LOCAL,0610,Chicago Midway Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0015,Schedule Salary Adjustments,5942
LOCAL,0610,Chicago Midway Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0138,For Professional Services for Information Technology Maintenance,78084
LOCAL,0610,Chicago Midway Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,97943
LOCAL,0740,Chicago O'Hare Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0005,Salaries and Wages - on Payroll,938224
LOCAL,0740,Chicago O'Hare Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0015,Schedule Salary Adjustments,3084
LOCAL,0740,Chicago O'Hare Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0138,For Professional Services for Information Technology Maintenance,125058
LOCAL,0740,Chicago O'Hare Airport Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,291175
LOCAL,0B21,Tax Increment Financing Administration Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0005,Salaries and Wages - on Payroll,406772
LOCAL,0B21,Tax Increment Financing Administration Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0015,Schedule Salary Adjustments,5701
LOCAL,0B21,Tax Increment Financing Administration Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0138,For Professional Services for Information Technology Maintenance,81908
LOCAL,0B21,Tax Increment Financing Administration Fund,28,City Treasurer's Office,2005,City Treasurer's Office,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,35513
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0005,Salaries and Wages - on Payroll,3317940
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0015,Schedule Salary Adjustments,41593
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0020,Overtime,2000
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0039,For the Employment of Students as Trainees,40460
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0130,Postage,90000
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0138,For Professional Services for Information Technology Maintenance,1176138
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,3753276
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0143,Court Reporting,45829
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0159,Lease Purchase Agreements for Equipment and Machinery,30307
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0162,Repair/Maintenance of Equipment,1375
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0166,"Dues, Subscriptions and Memberships",3730
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0169,Technical Meeting Costs,470
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0179,Messenger Service,3850
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0229,Transportation and Expense Allowance,1750
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0340,Material and Supplies,16968
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0348,Books and Related Material,800
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,0350,Stationery and Office Supplies,12440
LOCAL,0100,Corporate Fund,30,Department of Administrative Hearings,2005,Department of Administrative Hearings,9438,For Services Provided by the Department of Fleet and Facilities Management,21850
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0005,Salaries and Wages - on Payroll,32864503
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0015,Schedule Salary Adjustments,161114
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0020,Overtime,5000
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0130,Postage,81738
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0138,For Professional Services for Information Technology Maintenance,456733
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1314424
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0141,Appraisals,10000
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0143,Court Reporting,760325
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0145,Legal Expenses,56193
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0149,For Software Maintenance and Licensing,309888
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,8000
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0157,Rental of Equipment and Services,50886
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0159,Lease Purchase Agreements for Equipment and Machinery,117246
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0162,Repair/Maintenance of Equipment,4406
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0166,"Dues, Subscriptions and Memberships",142859
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0169,Technical Meeting Costs,46540
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0178,Freight and Express Charges,7378
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0229,Transportation and Expense Allowance,3510
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0245,Reimbursement to Travelers,17500
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0270,Local Transportation,15875
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0348,Books and Related Material,1800
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,0350,Stationery and Office Supplies,45996
LOCAL,0100,Corporate Fund,31,Department of Law,2005,Department of Law,9438,For Services Provided by the Department of Fleet and Facilities Management,10683
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0005,Salaries and Wages - on Payroll,1747585
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0015,Schedule Salary Adjustments,12041
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0020,Overtime,470
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0130,Postage,4160
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0138,For Professional Services for Information Technology Maintenance,3200
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,48517
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0141,Appraisals,2500
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0143,Court Reporting,49458
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0145,Legal Expenses,12813
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0149,For Software Maintenance and Licensing,31340
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,1000
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0157,Rental of Equipment and Services,772
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0159,Lease Purchase Agreements for Equipment and Machinery,7832
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0162,Repair/Maintenance of Equipment,1202
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0166,"Dues, Subscriptions and Memberships",1786
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0169,Technical Meeting Costs,5740
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0178,Freight and Express Charges,644
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0229,Transportation and Expense Allowance,230
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0245,Reimbursement to Travelers,2200
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0270,Local Transportation,1788
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0348,Books and Related Material,150
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,0350,Stationery and Office Supplies,3689
LOCAL,0200,Water Fund,31,Department of Law,2005,Department of Law,9438,For Services Provided by the Department of Fleet and Facilities Management,1323
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0005,Salaries and Wages - on Payroll,2096187
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0015,Schedule Salary Adjustments,4644
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0020,Overtime,470
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0130,Postage,3437
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0138,For Professional Services for Information Technology Maintenance,2200
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,55763
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0141,Appraisals,2500
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0143,Court Reporting,27584
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0145,Legal Expenses,12813
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0149,For Software Maintenance and Licensing,28412
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,1445
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0157,Rental of Equipment and Services,772
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0159,Lease Purchase Agreements for Equipment and Machinery,5832
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0162,Repair/Maintenance of Equipment,1202
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0166,"Dues, Subscriptions and Memberships",1786
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0169,Technical Meeting Costs,3840
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0178,Freight and Express Charges,644
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0229,Transportation and Expense Allowance,230
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0245,Reimbursement to Travelers,1000
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0270,Local Transportation,1500
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0348,Books and Related Material,150
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,0350,Stationery and Office Supplies,3689
LOCAL,0300,Vehicle Tax Fund,31,Department of Law,2005,Department of Law,9438,For Services Provided by the Department of Fleet and Facilities Management,1323
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0005,Salaries and Wages - on Payroll,905823
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0020,Overtime,200
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0130,Postage,1414
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0138,For Professional Services for Information Technology Maintenance,2000
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,31067
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0141,Appraisals,800
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0143,Court Reporting,21578
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0145,Legal Expenses,815
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0149,For Software Maintenance and Licensing,24070
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,1010
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0157,Rental of Equipment and Services,1080
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0159,Lease Purchase Agreements for Equipment and Machinery,5376
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0162,Repair/Maintenance of Equipment,100
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0166,"Dues, Subscriptions and Memberships",1750
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0169,Technical Meeting Costs,4020
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0178,Freight and Express Charges,270
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0229,Transportation and Expense Allowance,140
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0245,Reimbursement to Travelers,1750
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0270,Local Transportation,932
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0348,Books and Related Material,150
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,0350,Stationery and Office Supplies,2244
LOCAL,0314,Sewer Fund,31,Department of Law,2005,Department of Law,9438,For Services Provided by the Department of Fleet and Facilities Management,805
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0005,Salaries and Wages - on Payroll,420729
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0015,Schedule Salary Adjustments,6409
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0130,Postage,3297
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0138,For Professional Services for Information Technology Maintenance,1800
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,18300
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0141,Appraisals,1200
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0143,Court Reporting,7000
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0145,Legal Expenses,3700
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0149,For Software Maintenance and Licensing,21843
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,1000
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0157,Rental of Equipment and Services,725
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0159,Lease Purchase Agreements for Equipment and Machinery,5760
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0162,Repair/Maintenance of Equipment,100
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0166,"Dues, Subscriptions and Memberships",2400
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0169,Technical Meeting Costs,6000
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0178,Freight and Express Charges,496
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0229,Transportation and Expense Allowance,300
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0245,Reimbursement to Travelers,4200
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0270,Local Transportation,1000
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0348,Books and Related Material,150
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,0350,Stationery and Office Supplies,4127
LOCAL,0610,Chicago Midway Airport Fund,31,Department of Law,2005,Department of Law,9438,For Services Provided by the Department of Fleet and Facilities Management,863
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0005,Salaries and Wages - on Payroll,2448766
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0015,Schedule Salary Adjustments,987
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0020,Overtime,400
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0130,Postage,1511
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0138,For Professional Services for Information Technology Maintenance,3800
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,61671
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0141,Appraisals,1000
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0143,Court Reporting,10000
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0145,Legal Expenses,4300
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0149,For Software Maintenance and Licensing,21318
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,1000
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0157,Rental of Equipment and Services,2815
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0159,Lease Purchase Agreements for Equipment and Machinery,7500
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0162,Repair/Maintenance of Equipment,100
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0166,"Dues, Subscriptions and Memberships",4455
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0169,Technical Meeting Costs,3680
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0178,Freight and Express Charges,597
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0229,Transportation and Expense Allowance,295
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0245,Reimbursement to Travelers,1654
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0270,Local Transportation,1437
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0348,Books and Related Material,150
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,0350,Stationery and Office Supplies,3025
LOCAL,0740,Chicago O'Hare Airport Fund,31,Department of Law,2005,Department of Law,9438,For Services Provided by the Department of Fleet and Facilities Management,1253
LOCAL,0B21,Tax Increment Financing Administration Fund,31,Department of Law,2005,Department of Law,0005,Salaries and Wages - on Payroll,1020677
LOCAL,0B21,Tax Increment Financing Administration Fund,31,Department of Law,2005,Department of Law,0015,Schedule Salary Adjustments,2040
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0005,Salaries and Wages - on Payroll,10202332
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0015,Schedule Salary Adjustments,159972
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0039,For the Employment of Students as Trainees,59277
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0050,Stipends,21000
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0130,Postage,7564
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,482373
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0143,Court Reporting,55993
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0149,For Software Maintenance and Licensing,41681
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0152,Advertising,161700
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0159,Lease Purchase Agreements for Equipment and Machinery,78350
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0162,Repair/Maintenance of Equipment,9100
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0166,"Dues, Subscriptions and Memberships",49833
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0169,Technical Meeting Costs,17800
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0178,Freight and Express Charges,200
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0270,Local Transportation,2010
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0340,Material and Supplies,27045
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,0350,Stationery and Office Supplies,9500
LOCAL,0100,Corporate Fund,33,Department of Human Resources,2005,Department of Human Resources,9438,For Services Provided by the Department of Fleet and Facilities Management,14000
LOCAL,0200,Water Fund,33,Department of Human Resources,2005,Department of Human Resources,0005,Salaries and Wages - on Payroll,303057
LOCAL,0200,Water Fund,33,Department of Human Resources,2005,Department of Human Resources,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,3808
LOCAL,0200,Water Fund,33,Department of Human Resources,2005,Department of Human Resources,0350,Stationery and Office Supplies,208
LOCAL,0300,Vehicle Tax Fund,33,Department of Human Resources,2005,Department of Human Resources,0005,Salaries and Wages - on Payroll,54000
LOCAL,0610,Chicago Midway Airport Fund,33,Department of Human Resources,2005,Department of Human Resources,0005,Salaries and Wages - on Payroll,133313
LOCAL,0740,Chicago O'Hare Airport Fund,33,Department of Human Resources,2005,Department of Human Resources,0005,Salaries and Wages - on Payroll,488955
LOCAL,0740,Chicago O'Hare Airport Fund,33,Department of Human Resources,2005,Department of Human Resources,0015,Schedule Salary Adjustments,2784
LOCAL,0740,Chicago O'Hare Airport Fund,33,Department of Human Resources,2005,Department of Human Resources,0130,Postage,295
LOCAL,0740,Chicago O'Hare Airport Fund,33,Department of Human Resources,2005,Department of Human Resources,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,5950
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0005,Salaries and Wages - on Payroll,9095474
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0012,Contract Wage Increment - Prevailing Rate,3164
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0015,Schedule Salary Adjustments,170323
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0039,For the Employment of Students as Trainees,30000
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0130,Postage,2021
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0138,For Professional Services for Information Technology Maintenance,205210
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1188654
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0149,For Software Maintenance and Licensing,10550
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0152,Advertising,60000
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0157,Rental of Equipment and Services,38497
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0159,Lease Purchase Agreements for Equipment and Machinery,20300
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0160,Repair or Maintenance of Property,15280
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0162,Repair/Maintenance of Equipment,22056
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0166,"Dues, Subscriptions and Memberships",20040
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0168,Educational Development through Cooperative Education Program and Apprenticeship Program,10000
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0171,Miscellaneous Supplies,17500
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0178,Freight and Express Charges,500
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0229,Transportation and Expense Allowance,200
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0245,Reimbursement to Travelers,41000
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0270,Local Transportation,290
LOCAL,0100,Corporate Fund,35,Department of Procurement Services,2005,Department of Procurement Services,0340,Material and Supplies,6550
