fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0300,Vehicle Tax Fund,15,City Council,2265,Committee on Pedestrian and Traffic Safety,0300,Commodities and Materials,7000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,15,City Council,2155,Committee on Special Events  Cultural Affairs and Recreation,0000,Personnel Services,207145
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,15,City Council,2155,Committee on Special Events  Cultural Affairs and Recreation,0300,Commodities and Materials,3720
LOCAL,0740,Chicago O'Hare Airport Fund,15,City Council,2220,Committee on Aviation,0000,Personnel Services,212719
LOCAL,0740,Chicago O'Hare Airport Fund,15,City Council,2220,Committee on Aviation,0100,Contractual Services,200
LOCAL,0740,Chicago O'Hare Airport Fund,15,City Council,2220,Committee on Aviation,0300,Commodities and Materials,500
LOCAL,0740,Chicago O'Hare Airport Fund,15,City Council,2220,Committee on Aviation,0700,Contingencies,750
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0005,Salaries and Wages - on Payroll,1956742
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0015,Schedule Salary Adjustments,42265
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0039,For the Employment of Students as Trainees,91510
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0135,For Delegate Agencies,6566231
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,669862
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0141,Appraisals,10000
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0149,For Software Maintenance and Licensing,437005
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,0229,Transportation and Expense Allowance,300
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,9110,"Property Management, Maintenance and Security",40000
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,9211,Single-Family Troubled Building Initiative,75000
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,9212,Multi-Family Troubled Building Initiative,51698
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,9224,Micro Market Recovery Program,352000
LOCAL,0100,Corporate Fund,21,Department of Housing,2010,Department of Housing,9438,For Services Provided by the Department of Fleet and Facilities Management,24000
LOCAL,0996,Affordable Housing Opportunity Fund,21,Department of Housing,2010,Department of Housing,0005,Salaries and Wages - on Payroll,536343
LOCAL,0996,Affordable Housing Opportunity Fund,21,Department of Housing,2010,Department of Housing,0015,Schedule Salary Adjustments,10736
LOCAL,0996,Affordable Housing Opportunity Fund,21,Department of Housing,2010,Department of Housing,9213,Affordable Housing Density Program,531000
LOCAL,0B21,Tax Increment Financing Administration Fund,21,Department of Housing,2010,Department of Housing,0005,Salaries and Wages - on Payroll,2325207
LOCAL,0B21,Tax Increment Financing Administration Fund,21,Department of Housing,2010,Department of Housing,0015,Schedule Salary Adjustments,32127
LOCAL,0B21,Tax Increment Financing Administration Fund,21,Department of Housing,2010,Department of Housing,0138,For Professional Services for Information Technology Maintenance,33000
LOCAL,0B21,Tax Increment Financing Administration Fund,21,Department of Housing,2010,Department of Housing,0149,For Software Maintenance and Licensing,7000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0005,Salaries and Wages - on Payroll,7947806
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0015,Schedule Salary Adjustments,169643
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0039,For the Employment of Students as Trainees,175000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0125,Office and Building Services,30000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0130,Postage,25000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0138,For Professional Services for Information Technology Maintenance,156990
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,3975600
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,76000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0152,Advertising,189000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0153,Promotions,12000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0159,Lease Purchase Agreements for Equipment and Machinery,19032
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0161,"Operation, Repair or Maintenance of Facilities",50000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0166,"Dues, Subscriptions and Memberships",74000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0172,For the Cost of Insurance Premiums and Expenses,516610
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0229,Transportation and Expense Allowance,2500
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0245,Reimbursement to Travelers,10000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0340,Material and Supplies,15000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,0350,Stationery and Office Supplies,20000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9188,For Expenses Related to the Operation of Millennium Park,3830000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9219,Implementation of Cultural Plan,2575000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9225,Arts and Cultural Initiatives,7000000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9288,For Expenses Related to Programming for Millennium Park,265500
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9803,For Programming and Marketing,1951296
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9805,For Festival Production,11222900
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9807,For Redemption Expenses,2600000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,23,Department of Cultural Affairs and Special Events,2015,Department of Cultural Affairs and Special Events,9813,For Local Promotions and Marketing,758720
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0005,Salaries and Wages - on Payroll,3112846
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0015,Schedule Salary Adjustments,38819
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0020,Overtime,20000
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0130,Postage,5141
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0135,For Delegate Agencies,500000
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,650071
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0149,For Software Maintenance and Licensing,1056656
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,3000
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0152,Advertising,105000
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0157,Rental of Equipment and Services,36261
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0159,Lease Purchase Agreements for Equipment and Machinery,100353
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0162,Repair/Maintenance of Equipment,20325
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0166,"Dues, Subscriptions and Memberships",7957
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0171,Miscellaneous Supplies,118250
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0340,Material and Supplies,1500
LOCAL,0100,Corporate Fund,25,Office of City Clerk,2005,Office of City Clerk,0350,Stationery and Office Supplies,247500
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0005,Salaries and Wages - on Payroll,5048982
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0015,Schedule Salary Adjustments,48115
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0020,Overtime,50000
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0039,For the Employment of Students as Trainees,95000
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0130,Postage,1188260
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0138,For Professional Services for Information Technology Maintenance,550000
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,497300
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0149,For Software Maintenance and Licensing,1000000
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0154,"For the Rental and Maintenance of Data Processing, Office Automation and Data Communications Hardware",12125
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0157,Rental of Equipment and Services,86036
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0159,Lease Purchase Agreements for Equipment and Machinery,45000
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0162,Repair/Maintenance of Equipment,12500
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0229,Transportation and Expense Allowance,18000
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0338,"License Sticker, Tag and Plates",393655
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0340,Material and Supplies,12500
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,0350,Stationery and Office Supplies,123500
LOCAL,0300,Vehicle Tax Fund,25,Office of City Clerk,2005,Office of City Clerk,9438,For Services Provided by the Department of Fleet and Facilities Management,10000
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0005,Salaries and Wages - on Payroll,3682571
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0015,Schedule Salary Adjustments,50265
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0149,For Software Maintenance and Licensing,6200
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0166,"Dues, Subscriptions and Memberships",9230
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0169,Technical Meeting Costs,885
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0171,Miscellaneous Supplies,6000
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0270,Local Transportation,150
LOCAL,0100,Corporate Fund,27,Department of Finance,2011,City Comptroller,0350,Stationery and Office Supplies,4500
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0005,Salaries and Wages - on Payroll,1372865
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0015,Schedule Salary Adjustments,22897
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0020,Overtime,23500
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,51000
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0142,Accounting and Auditing,651425
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0149,For Software Maintenance and Licensing,105000
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0166,"Dues, Subscriptions and Memberships",3000
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0169,Technical Meeting Costs,8750
LOCAL,0100,Corporate Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0350,Stationery and Office Supplies,1500
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0005,Salaries and Wages - on Payroll,7015618
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0015,Schedule Salary Adjustments,92196
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0130,Postage,70000
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0139,For Professional Services for Information Technology Development,234699
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,440000
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0149,For Software Maintenance and Licensing,527778
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,17500
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0152,Advertising,12500
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0166,"Dues, Subscriptions and Memberships",25962
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0169,Technical Meeting Costs,60850
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0178,Freight and Express Charges,1000
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0245,Reimbursement to Travelers,8200
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0340,Material and Supplies,13000
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0348,Books and Related Material,650
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,0350,Stationery and Office Supplies,11500
LOCAL,0100,Corporate Fund,27,Department of Finance,2015,Financial Strategy and Operations,9067,For Physical Exams,400
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0005,Salaries and Wages - on Payroll,27545964
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0012,Contract Wage Increment - Prevailing Rate,63166
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0015,Schedule Salary Adjustments,280398
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0020,Overtime,206500
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0091,Uniform Allowance,84050
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0130,Postage,110000
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0138,For Professional Services for Information Technology Maintenance,25928030
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0139,For Professional Services for Information Technology Development,251500
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,7585492
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0149,For Software Maintenance and Licensing,68100
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0152,Advertising,5500
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0156,Lock Box Rental,15574
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0157,Rental of Equipment and Services,5040
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0159,Lease Purchase Agreements for Equipment and Machinery,75900
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0162,Repair/Maintenance of Equipment,1650007
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0166,"Dues, Subscriptions and Memberships",1390
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0169,Technical Meeting Costs,14460
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0178,Freight and Express Charges,800
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0179,Messenger Service,6000
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0228,Out of Town Travel for Auditors Only,500
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0229,Transportation and Expense Allowance,2000
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0319,Clothing,7375
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0339,Revenue Stamps,32000
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0340,Material and Supplies,113350
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0350,Stationery and Office Supplies,77000
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,0421,Machinery and Equipment,35000
LOCAL,0100,Corporate Fund,27,Department of Finance,2020,Revenue Services and Operations,9438,For Services Provided by the Department of Fleet and Facilities Management,55000
LOCAL,0200,Water Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0005,Salaries and Wages - on Payroll,423003
LOCAL,0200,Water Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0015,Schedule Salary Adjustments,2903
LOCAL,0200,Water Fund,27,Department of Finance,2015,Financial Strategy and Operations,0005,Salaries and Wages - on Payroll,588135
LOCAL,0200,Water Fund,27,Department of Finance,2015,Financial Strategy and Operations,0015,Schedule Salary Adjustments,380
LOCAL,0200,Water Fund,27,Department of Finance,2015,Financial Strategy and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,25000
LOCAL,0200,Water Fund,27,Department of Finance,2015,Financial Strategy and Operations,0149,For Software Maintenance and Licensing,49616
LOCAL,0200,Water Fund,27,Department of Finance,2015,Financial Strategy and Operations,0154,"For the Rental and Maintenance of Data Processing, Office Automation and Data Communications Hardware",20000
LOCAL,0200,Water Fund,27,Department of Finance,2015,Financial Strategy and Operations,0166,"Dues, Subscriptions and Memberships",432
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0005,Salaries and Wages - on Payroll,3010139
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0015,Schedule Salary Adjustments,21473
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0130,Postage,2122691
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0138,For Professional Services for Information Technology Maintenance,5539100
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,7092724
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0159,Lease Purchase Agreements for Equipment and Machinery,18542
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0169,Technical Meeting Costs,4200
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0245,Reimbursement to Travelers,3800
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0340,Material and Supplies,3400
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,0350,Stationery and Office Supplies,10000
LOCAL,0200,Water Fund,27,Department of Finance,2020,Revenue Services and Operations,9438,For Services Provided by the Department of Fleet and Facilities Management,15000
LOCAL,0300,Vehicle Tax Fund,27,Department of Finance,2015,Financial Strategy and Operations,0005,Salaries and Wages - on Payroll,644285
LOCAL,0300,Vehicle Tax Fund,27,Department of Finance,2015,Financial Strategy and Operations,0015,Schedule Salary Adjustments,8615
LOCAL,0300,Vehicle Tax Fund,27,Department of Finance,2020,Revenue Services and Operations,0005,Salaries and Wages - on Payroll,462196
LOCAL,0300,Vehicle Tax Fund,27,Department of Finance,2020,Revenue Services and Operations,0015,Schedule Salary Adjustments,3089
LOCAL,0300,Vehicle Tax Fund,27,Department of Finance,2020,Revenue Services and Operations,0350,Stationery and Office Supplies,250
LOCAL,0300,Vehicle Tax Fund,27,Department of Finance,2020,Revenue Services and Operations,0421,Machinery and Equipment,1201127
LOCAL,0314,Sewer Fund,27,Department of Finance,2015,Financial Strategy and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,16000
LOCAL,0314,Sewer Fund,27,Department of Finance,2015,Financial Strategy and Operations,0149,For Software Maintenance and Licensing,45912
LOCAL,0314,Sewer Fund,27,Department of Finance,2015,Financial Strategy and Operations,0154,"For the Rental and Maintenance of Data Processing, Office Automation and Data Communications Hardware",10000
LOCAL,0314,Sewer Fund,27,Department of Finance,2015,Financial Strategy and Operations,0166,"Dues, Subscriptions and Memberships",300
LOCAL,0314,Sewer Fund,27,Department of Finance,2020,Revenue Services and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,1967898
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0005,Salaries and Wages - on Payroll,170420
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0020,Overtime,500
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0039,For the Employment of Students as Trainees,6500
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0142,Accounting and Auditing,15000
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0166,"Dues, Subscriptions and Memberships",300
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0169,Technical Meeting Costs,420
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0270,Local Transportation,420
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0350,Stationery and Office Supplies,500
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0005,Salaries and Wages - on Payroll,144062
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0015,Schedule Salary Adjustments,2670
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,26000
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0149,For Software Maintenance and Licensing,7245
LOCAL,0610,Chicago Midway Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0166,"Dues, Subscriptions and Memberships",350
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0005,Salaries and Wages - on Payroll,2310738
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0015,Schedule Salary Adjustments,33551
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0020,Overtime,8000
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0142,Accounting and Auditing,69560
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0149,For Software Maintenance and Licensing,1500
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0166,"Dues, Subscriptions and Memberships",425
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0169,Technical Meeting Costs,1500
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0348,Books and Related Material,500
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0350,Stationery and Office Supplies,3500
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0005,Salaries and Wages - on Payroll,848588
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0015,Schedule Salary Adjustments,11387
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,100509
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0149,For Software Maintenance and Licensing,176499
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0154,"For the Rental and Maintenance of Data Processing, Office Automation and Data Communications Hardware",20000
LOCAL,0740,Chicago O'Hare Airport Fund,27,Department of Finance,2015,Financial Strategy and Operations,0166,"Dues, Subscriptions and Memberships",1500
LOCAL,0B21,Tax Increment Financing Administration Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0005,Salaries and Wages - on Payroll,424829
LOCAL,0B21,Tax Increment Financing Administration Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0015,Schedule Salary Adjustments,10311
LOCAL,0B21,Tax Increment Financing Administration Fund,27,Department of Finance,2012,Accounting and Financial Reporting,0142,Accounting and Auditing,221701
LOCAL,0B26,Chicago Parking Meters Fund,27,Department of Finance,2015,Financial Strategy and Operations,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,6500000
